"subject","predicate","object","type_s","type_o","urgency_level","recommended_action","safe_action","contraindicated_for","source_reference","confidence_level","last_updated"
"Hypertension","RECOMMENDED_FOR","Weight management","Condition","Action","routine","Maintain BMI below 25","Combine physical activity with diet","None","https://www.who.int/news-room/fact-sheets/detail/obesity-and-overweight","high","2025-11-10"
"Hypertension","AVOID_IN","High sodium diet","Condition","Action","routine","Limit sodium to <2g/day","Avoid canned/salted foods","None","https://www.who.int/news-room/fact-sheets/detail/salt-reduction","high","2025-11-10"
"Hypertension","AVOID_IN","Decongestants (pseudoephedrine)","Condition","Action","routine","Avoid OTC decongestants; can raise BP","Use saline nasal spray instead","None","https://www.nhs.uk/common-health-questions/medicines/are-decongestants-safe/","high","2025-11-10"
"Hypertension","SAFE_FOR","Paracetamol for pain relief","Condition","Action","routine","Preferred painkiller if needed","Use within dosing limits","None","https://www.nhs.uk/medicines/paracetamol/","high","2025-11-10"
"Hypertension","IS_RED_FLAG_FOR","Hypertensive crisis","Condition","Condition","emergency","Seek emergency care if BP >180/120 with headache or chest pain","Rest while awaiting help","None","https://www.cdc.gov/bloodpressure/about.htm","high","2025-11-10"
"Diabetes","RECOMMENDED_FOR","Foot care","Condition","Action","routine","Daily inspection and moisturization of feet","Use comfortable footwear","None","https://www.who.int/health-topics/diabetes","high","2025-11-10"
"Diabetes","RECOMMENDED_FOR","Blood sugar monitoring","Condition","Action","routine","Monitor glucose as advised","Record readings and follow pattern","None","https://www.cdc.gov/diabetes/","high","2025-11-10"
"Diabetes","RECOMMENDED_FOR","Healthy balanced diet","Condition","Action","routine","Follow dietitian-recommended meal plan","Avoid sugary beverages","None","https://www.who.int/health-topics/diabetes","high","2025-11-10"
"Diabetes","RECOMMENDED_FOR","Regular exercise","Condition","Action","routine","Perform 150 minutes per week of activity","Check glucose before/after exercise","None","https://www.cdc.gov/diabetes/","high","2025-11-10"
"Diabetes","AVOID_IN","Alcohol excess","Condition","Action","routine","Limit alcohol to occasional consumption","Pair alcohol with food to avoid hypoglycemia","None","https://www.who.int/teams/mental-health-and-substance-use/alcohol-drugs-addictive-behaviours","high","2025-11-10"
"Diabetes","AVOID_IN","Skipping meals","Condition","Action","routine","Eat regular balanced meals","Monitor glucose if delayed meals","None","https://www.cdc.gov/diabetes/basics/healthy-eating.html","high","2025-11-10"
"Diabetes","IS_RED_FLAG_FOR","Diabetic ketoacidosis","Condition","Condition","emergency","Seek emergency care if vomiting or breath odor present","Do not self-adjust insulin drastically","None","https://www.nhs.uk/conditions/diabetic-ketoacidosis-dka/","high","2025-11-10"
"Diabetes","IS_RED_FLAG_FOR","Hypoglycemia","Condition","Condition","emergency","Take fast-acting carbohydrate if alert or call emergency if not conscious","Give glucose gel if able","None","https://www.nhs.uk/conditions/hypoglycaemia/","high","2025-11-10"
"Asthma","RECOMMENDED_FOR","Inhaler adherence","Condition","Action","routine","Use preventer inhaler daily as prescribed","Carry reliever inhaler at all times","None","https://ginasthma.org/","high","2025-11-10"
"Asthma","RECOMMENDED_FOR","Trigger avoidance","Condition","Action","routine","Avoid smoke","dust,pollen where possible,Use mask when exposed","None","https://www.who.int/health-topics/asthma","high","2025-11-10"
"Asthma","RECOMMENDED_FOR","Peak flow monitoring","Condition","Action","routine","Record daily readings and watch for trends","Use per asthma plan","None","https://ginasthma.org/","high","2025-11-10"
"Asthma","AVOID_IN","NSAIDs if sensitive","Condition","Action","routine","Avoid ibuprofen/aspirin if worsens asthma","Use paracetamol instead","NSAID-sensitive individuals","https://www.nhs.uk/conditions/asthma/","high","2025-11-10"
"Asthma","IS_RED_FLAG_FOR","Status asthmaticus","Condition","Condition","emergency","Call emergency services if not responding to reliever","Use rescue inhaler and sit upright","None","https://ginasthma.org/","high","2025-11-10"
"COPD","RECOMMENDED_FOR","Smoking cessation","Condition","Action","routine","Quit smoking entirely","Use nicotine replacement or counselling","None","https://www.nhs.uk/conditions/copd/","high","2025-11-10"
"COPD","RECOMMENDED_FOR","Vaccinations (flu, pneumococcal)","Condition","Action","routine","Stay up-to-date on vaccines,Consult GP for schedule","None","https://www.cdc.gov/copd/basics-prevention.html","high","2025-11-10"
"COPD","RECOMMENDED_FOR","Pulmonary rehabilitation","Condition","Action","routine","Join pulmonary rehab for exercise and breathing training","Continue home exercises","None","https://www.nhs.uk/conditions/chronic-obstructive-pulmonary-disease-copd/","high","2025-11-10"
"COPD","IS_RED_FLAG_FOR","Acute exacerbation","Condition","Condition","urgent","Seek medical care for increased sputum or breathlessness","Use rescue inhaler and monitor oxygen","None","https://www.nhs.uk/conditions/copd/","high","2025-11-10"
"Thyroid disorder (hypothyroidism)","RECOMMENDED_FOR","Regular TSH monitoring","Condition","Action","routine","Check TSH every 6–12 months","Take levothyroxine daily on empty stomach","None","https://www.nhs.uk/conditions/underactive-thyroid-hypothyroidism/","high","2025-11-10"
"Thyroid disorder (hyperthyroidism)","RECOMMENDED_FOR","Regular thyroid function test","Condition","Action","routine","Check T3/T4/TSH periodically","Take medication as prescribed","None","https://www.nhs.uk/conditions/overactive-thyroid-hyperthyroidism/","high","2025-11-10"
"Thyroid disorder (hyperthyroidism)","IS_RED_FLAG_FOR","Thyroid storm","Condition","Condition","emergency","Seek emergency care if fever","confusion,or tachycardia occur,Rest and keep cool","None","https://www.nhs.uk/conditions/overactive-thyroid-hyperthyroidism/","high","2025-11-10"
"Arthritis (osteoarthritis)","RECOMMENDED_FOR","Weight reduction","Condition","Action","routine","Maintain healthy BMI to reduce joint stress","Low-impact exercise like swimming","None","https://www.nhs.uk/conditions/osteoarthritis/","high","2025-11-10"
"Arthritis (osteoarthritis)","RECOMMENDED_FOR","Physiotherapy","Condition","Action","routine","Exercise to maintain mobility","Use assistive devices if needed","None","https://www.nhs.uk/conditions/osteoarthritis/","high","2025-11-10"
"Arthritis (rheumatoid)","RECOMMENDED_FOR","DMARD therapy adherence","Condition","Action","routine","Take medications as prescribed and regular blood checks","Report infection symptoms","None","https://www.nhs.uk/conditions/rheumatoid-arthritis/","high","2025-11-10"
"Arthritis (rheumatoid)","IS_RED_FLAG_FOR","Severe flare or infection","Condition","Condition","urgent","Seek medical review if joint swelling","fever,or pain worsens,Avoid self-medicating","None","https://www.nhs.uk/conditions/rheumatoid-arthritis/","high","2025-11-10"
"Chronic kidney disease","RECOMMENDED_FOR","Low-salt low-protein diet","Condition","Action","routine","Follow renal dietitian advice","Avoid processed meats","None","https://www.nhs.uk/conditions/kidney-disease/","high","2025-11-10"
"Chronic kidney disease","AVOID_IN","NSAIDs","Condition","Action","routine","Avoid ibuprofen and similar drugs","Use paracetamol if needed","Kidney disease","https://www.nhs.uk/medicines/ibuprofen/","high","2025-11-10"
"Chronic kidney disease","RECOMMENDED_FOR","Hydration within limits","Condition","Action","routine","Follow fluid restriction as advised","Monitor urine output","None","https://www.nhs.uk/conditions/kidney-disease/","high","2025-11-10"
"Chronic liver disease","AVOID_IN","Alcohol","Condition","Action","routine","Stop alcohol completely","Follow liver-healthy diet","None","https://www.who.int/news-room/fact-sheets/detail/hepatitis-b","high","2025-11-10"
"Chronic liver disease","AVOID_IN","High-dose paracetamol","Condition","Action","routine","Use only under medical supervision","Check labels for combination products","None","https://www.nhs.uk/medicines/paracetamol/","high","2025-11-10"
"Chronic liver disease","RECOMMENDED_FOR","Vaccination (Hepatitis A/B)","Condition","Action","routine","Stay updated on vaccines","Follow medical advice","None","https://www.cdc.gov/hepatitis/hbv/index.htm","high","2025-11-10"
"Heart failure","RECOMMENDED_FOR","Fluid restriction","Condition","Action","routine","Limit fluids as advised by doctor","Track weight daily","None","https://www.nhs.uk/conditions/heart-failure/","high","2025-11-10"
"Heart failure","AVOID_IN","NSAIDs and excess salt","Condition","Action","routine","Avoid medications that cause fluid retention","Consult cardiologist before any OTC drug","None","https://www.nhs.uk/conditions/heart-failure/","high","2025-11-10"
"Heart failure","RECOMMENDED_FOR","Daily weight monitoring","Condition","Action","routine","Monitor for sudden 2kg weight gain","Report swelling or breathlessness","None","https://www.nhs.uk/conditions/heart-failure/","high","2025-11-10"
"Heart failure","IS_RED_FLAG_FOR","Decompensated heart failure","Condition","Condition","emergency","Seek immediate hospital care if breathless at rest or swelling worsens","Sit upright while awaiting help","None","https://www.nhs.uk/conditions/heart-failure/","high","2025-11-10"
"Anemia","RECOMMENDED_FOR","Iron-rich diet","Condition","Action","routine","Include leafy greens and meat sources","Pair iron foods with vitamin C","None","https://www.who.int/health-topics/anaemia","high","2025-11-10"
"Anemia","AVOID_IN","Tea/coffee with meals","Condition","Action","routine","Avoid immediately after meals","Reduces iron absorption","None","https://www.who.int/health-topics/anaemia","high","2025-11-10"
"Anemia","IS_RED_FLAG_FOR","Severe anemia with breathlessness","Condition","Condition","urgent","Seek hospital care for possible transfusion","Rest and avoid exertion","None","https://www.who.int/health-topics/anaemia","high","2025-11-10"
"Epilepsy","RECOMMENDED_FOR","Medication adherence","Condition","Action","routine","Take antiepileptic drugs regularly","Avoid missed doses","None","https://www.nhs.uk/conditions/epilepsy/","high","2025-11-10"
"Epilepsy","AVOID_IN","Alcohol excess or sleep deprivation","Condition","Action","routine","Maintain regular sleep; avoid triggers","Inform close contacts","None","https://www.nhs.uk/conditions/epilepsy/","high","2025-11-10"
"Epilepsy","IS_RED_FLAG_FOR","Status epilepticus","Condition","Condition","emergency","Call emergency services if seizure lasts >5 min","Ensure airway safety","None","https://www.nhs.uk/conditions/epilepsy/","high","2025-11-10"
"Chronic pain","RECOMMENDED_FOR","Multimodal pain management","Condition","Action","routine","Include physiotherapy and counseling","Avoid opioid misuse","None","https://www.cdc.gov/drugoverdose/patients/","high","2025-11-10"
"Chronic pain","RECOMMENDED_FOR","Mind-body therapy","Condition","Action","routine","Use CBT and relaxation techniques","Practice guided breathing","None","https://www.cdc.gov/drugoverdose/patients/","high","2025-11-10"
"Osteoporosis","RECOMMENDED_FOR","Calcium and vitamin D supplementation","Condition","Action","routine","Ensure adequate intake per guidance","Sun exposure and diet","None","https://www.nhs.uk/conditions/osteoporosis/","high","2025-11-10"
"Osteoporosis","RECOMMENDED_FOR","Weight-bearing exercise","Condition","Action","routine","Engage in walking","light resistance training,Avoid high-impact if frail","None","https://www.nhs.uk/conditions/osteoporosis/","high","2025-11-10"
"Chronic depression","RECOMMENDED_FOR","Regular follow-up and therapy","Condition","Action","routine","Adhere to psychotherapy or medication plan","Avoid sudden stopping antidepressants","None","https://www.nhs.uk/mental-health/conditions/clinical-depression/","high","2025-11-10"
"Chronic depression","AVOID_IN","Alcohol/substance use","Condition","Action","routine","Avoid alcohol which worsens depression","Seek therapy or counseling","None","https://www.nhs.uk/mental-health/conditions/clinical-depression/","high","2025-11-10"
"Chronic depression","IS_RED_FLAG_FOR","Suicidal ideation","Condition","Condition","emergency","Seek immediate help from helpline or emergency","Stay with trusted person","None","https://www.who.int/news-room/fact-sheets/detail/suicide","high","2025-11-10"
"Anxiety (general)","RECOMMENDED_FOR","CBT (cognitive behavioural therapy)","Condition","Action","routine","Refer to psychological therapies or self-help CBT programmes","Practice short daily breathing or grounding exercises","None","https://www.nhs.uk/conditions/stress-anxiety-depression/behavioural-therapies/","high","2025-11-10"
"Anxiety (general)","RECOMMENDED_FOR","Self-help breathing techniques","Condition","Action","routine","Teach slow diaphragmatic breathing and grounding","Use 4-4-4 breathing or grounding 5-4-3-2-1 technique","None","https://www.nhs.uk/conditions/stress-anxiety-depression/self-help/","high","2025-11-10"
"Panic attack","IS_RED_FLAG_FOR","Recurring panic disorder","Symptom","Condition","urgent","Offer immediate grounding and arrange urgent mental health follow-up","Encourage slow breathing and safe environment","None","https://www.nhs.uk/conditions/panic-disorder/","high","2025-11-10"
"Panic attack","RECOMMENDED_FOR","Acute grounding techniques","Symptom","Action","urgent","Use controlled breathing and grounding; seek medical review if first episode","Stay seated,focus on steady breathing","None","https://www.nhs.uk/conditions/panic-disorder/steps-to-take/","high","2025-11-10"
"Insomnia","RECOMMENDED_FOR","Sleep hygiene measures","Symptom","Action","routine","Advise regular sleep schedule and limit screens before bed","Avoid caffeine late in day; keep bedroom cool and dark","None","https://www.nhs.uk/conditions/insomnia/treatment/","high","2025-11-10"
"Insomnia","RECOMMENDED_FOR","CBT for insomnia (CBT-I)","Symptom","Action","routine","Refer to CBT-I programmes or sleep clinics","Keep a sleep diary to track patterns","None","https://www.nice.org.uk/guidance/ng136 (sleep hygiene & CBT principles)","high","2025-11-10"
"Depression (mild)","RECOMMENDED_FOR","Activity scheduling & social support","Condition","Action","routine","Encourage gradual re-activation and social contact","Set small daily tasks; avoid isolation","None","https://www.who.int/news-room/fact-sheets/detail/mental-disorders","high","2025-11-10"
"Depression (moderate to severe)","IS_RED_FLAG_FOR","Suicidal ideation/self-harm risk","Condition","Condition","emergency","If suicidal thoughts present","seek urgent mental health or emergency help,Do not leave person alone; remove means of harm","None","https://www.who.int/news-room/fact-sheets/detail/suicide","high","2025-11-10"
"Suicidal thoughts","IS_RED_FLAG_FOR","Mental health crisis","Symptom","Condition","emergency","Contact emergency services or crisis line immediately","Stay with person,remove access to harmful objects","None","https://www.nhs.uk/mental-health/conditions/suicidal-feelings/","high","2025-11-10"
"Self-harm (intentional)","IS_RED_FLAG_FOR","Mental health crisis","Symptom","Condition","emergency","Seek urgent medical and psychiatric evaluation","Ensure immediate safety and wound care; call emergency if severe","None","https://www.nhs.uk/mental-health/concerns/self-harm/","high","2025-11-10"
"Acute psychosis (new)","IS_RED_FLAG_FOR","Psychotic disorder/medical cause","Symptom","Condition","emergency","Arrange urgent psychiatric/medical assessment (possible admission)","Keep environment calm; avoid confrontation","None","https://www.nhs.uk/conditions/psychosis/causes/","high","2025-11-10"
"Hallucinations (visual/auditory)","IS_RED_FLAG_FOR","Acute psychosis or medical cause","Symptom","Condition","urgent","Seek urgent psychiatric or medical review","Ensure safety and do not argue with hallucinations","None","https://www.nhs.uk/conditions/hallucinations/","high","2025-11-10"
"Agitation with aggression","IS_RED_FLAG_FOR","Immediate risk of harm","Symptom","Condition","emergency","Call emergency services if danger to self/others","Keep a safe distance,remove others from harm's way","None","https://www.nice.org.uk/guidance/ng10 (violence/aggression guidance)","high","2025-11-10"
"Manic symptoms (severe)","IS_RED_FLAG_FOR","Bipolar mania requiring admission","Symptom","Condition","urgent","Arrange psychiatric assessment urgently; may need hospital care","Do not argue; keep environment low-stimulus","None","https://www.nhs.uk/conditions/bipolar-disorder/","high","2025-11-10"
"Bipolar disorder","RECOMMENDED_FOR","Mood-stabiliser adherence","Condition","Action","routine","Encourage adherence to prescribed mood stabilisers and follow-up","Do not stop medication abruptly without clinician advice","None","https://www.nhs.uk/conditions/bipolar-disorder/treatment/","high","2025-11-10"
"PTSD","RECOMMENDED_FOR","Trauma-focused therapy","Condition","Action","routine","Refer to trauma-focused CBT or EMDR where available","Provide a safe environment and validate feelings","None","https://www.who.int/teams/mental-health-and-substance-use/trauma-informed-care","high","2025-11-10"
"PTSD","IS_RED_FLAG_FOR","Safety risk with flashbacks","Condition","Condition","urgent","Arrange mental health follow-up and safety planning","Teach grounding techniques and trigger avoidance","None","https://www.nhs.uk/conditions/post-traumatic-stress-disorder-pTSD/","high","2025-11-10"
"OCD","RECOMMENDED_FOR","Exposure and response prevention (ERP)","Condition","Action","routine","Refer for specialist CBT (ERP)","Encourage gradual exposure under therapy","None","https://www.nhs.uk/conditions/obsessive-compulsive-disorder-ocd/","high","2025-11-10"
"Panic disorder","RECOMMENDED_FOR","Medication review and therapy","Condition","Action","urgent","Refer to primary care for assessment and CBT; consider specialist input","Teach short-term breathing strategies","None","https://www.nhs.uk/conditions/panic-disorder/treatment/","high","2025-11-10"
"Panic disorder","AVOID_IN","Benzodiazepine long-term use","Condition","Action","routine","Avoid long-term benzodiazepines due to dependence risk","Use short-term as specialist advised","Substance misuse and pregnancy caution","https://www.nice.org.uk/guidance/CG113","high","2025-11-10"
"Insomnia","AVOID_IN","Alcohol as sleep aid","Condition","Action","routine","Advise against alcohol to induce sleep; it worsens sleep architecture","Use sleep hygiene instead","Alcohol misuse caution","https://www.nhs.uk/conditions/insomnia/","high","2025-11-10"
"Substance use (alcohol)","IS_RED_FLAG_FOR","Alcohol withdrawal risk","Condition","Condition","urgent","Medical assessment for withdrawal risk; supervised detox may be needed","Do not detox at home without medical advice","","https://www.who.int/teams/mental-health-and-substance-use/alcohol","high","2025-11-10"
"Substance use (opioids)","IS_RED_FLAG_FOR","Opioid overdose","Condition","Condition","emergency","Call emergency services immediately; administer naloxone if available and trained","Place person in recovery position if breathing","","https://www.cdc.gov/opioids/index.html","high","2025-11-10"
"Opioid use disorder","RECOMMENDED_FOR","Medication-assisted treatment","Condition","Action","urgent","Refer to addiction services for methadone/buprenorphine under supervision","Do not stop opioids abruptly without support","","https://www.who.int/teams/mental-health-and-substance-use/substance-use","high","2025-11-10"
"Alcohol use disorder","RECOMMENDED_FOR","Brief intervention and support","Condition","Action","urgent","Offer brief intervention and refer to specialist services for dependence","Encourage safe limits and support networks","","https://www.nice.org.uk/guidance/ng116","high","2025-11-10"
"Suicidal plan/intent","IS_RED_FLAG_FOR","Immediate suicide risk","Symptom","Condition","emergency","Contact emergency services or crisis team now; do not leave person alone","Remove means of harm and stay with person","None","https://www.who.int/news-room/fact-sheets/detail/suicide","high","2025-11-10"
"Self-neglect with severe deterioration","IS_RED_FLAG_FOR","Severe mental illness concern","Symptom","Condition","urgent","Arrange social and medical assessment and safeguarding where needed","Ensure immediate basic needs are met (food,shelter)","Vulnerable adult protocols","https://www.nhs.uk/conditions/mental-health/looking-after-someone/","high","2025-11-10"
"Adolescent mood change with decline at school","IS_RED_FLAG_FOR","Depression or self-harm risk","Symptom","Condition","urgent","Arrange prompt school and healthcare follow-up; consider CAMHS referral","Maintain supportive contact and remove risky items","None","https://www.nhs.uk/mental-health/children-and-young-people/mental-health-support/","high","2025-11-10"
"Perinatal depression","IS_RED_FLAG_FOR","Postnatal depression","Condition","Condition","urgent","Early referral to perinatal mental health services; seek midwife/GP review","Ensure partner/family support and safety planning","None","https://www.nhs.uk/conditions/post-natal-depression/","high","2025-11-10"
"Postpartum psychosis","IS_RED_FLAG_FOR","Severe mental health emergency","Condition","Condition","emergency","Immediate psychiatric and obstetric assessment required; emergency admission likely","Do not leave mother alone with infant if risk present","","https://www.nhs.uk/conditions/postnatal-psychosis/","high","2025-11-10"
"Insomnia","RECOMMENDED_FOR","Limit stimulant intake (caffeine/nicotine)","Symptom","Action","routine","Avoid caffeine after mid-afternoon and reduce nicotine use","Use sleep hygiene strategies","None","https://www.nhs.uk/conditions/insomnia/treatment/","high","2025-11-10"
"Stress/acute adjustment","RECOMMENDED_FOR","Problem-solving and social support","Condition","Action","routine","Encourage talking therapies and social connection","Use brief relaxation and pacing techniques","None","https://www.who.int/mental_health","high","2025-11-10"
"Low mood after bereavement","RECOMMENDED_FOR","Watchful waiting and support","Condition","Action","routine","Offer bereavement support and monitor for prolonged depression","Encourage community and social supports","None","https://www.nhs.uk/conditions/bereavement/","high","2025-11-10"
"Medication non-adherence (psych meds)","IS_RED_FLAG_FOR","Relapse risk","Condition","Condition","urgent","Encourage contact with prescriber or crisis team to review medication","Do not stop medications abruptly without clinician advice","None","https://www.nhs.uk/conditions/mental-health/medicines/","high","2025-11-10"
"Psychotropic medication & alcohol","AVOID_IN","Alcohol use","Action","Condition","routine","Advise patients to avoid alcohol while on psychotropic drugs due to interaction and sedation risk","Discuss risks with clinician","","https://www.nice.org.uk/guidance/ (med guidance)","high","2025-11-10"
"Severe insomnia with daytime impairment","IS_RED_FLAG_FOR","Severe mental health impact","Symptom","Condition","urgent","Refer to sleep clinic or mental health services for assessment","Keep sleep diary and avoid driving if impaired","None","https://www.nhs.uk/conditions/insomnia/","high","2025-11-10"
"Recurrent panic with avoidance","RECOMMENDED_FOR","Exposure-based therapy","Condition","Action","urgent","Refer for specialist CBT and gradual exposure","Encourage gradual return to avoided activities","None","https://www.nhs.uk/conditions/panic-disorder/treatment/","high","2025-11-10"
"Compulsive self-harm injury requiring medical care","IS_RED_FLAG_FOR","Surgical/medical emergency","Symptom","Condition","emergency","Attend ED for wound care and mental health liaison","Ensure immediate safety and arrange psychiatric follow-up","None","https://www.nhs.uk/conditions/self-harm/","high","2025-11-10"
"Substance intoxication with agitation","IS_RED_FLAG_FOR","Risk to self/others","Symptom","Condition","emergency","Call emergency services and keep person safe until help arrives","Keep calm","remove dangerous objects","https://www.cdc.gov/mentalhealth/substance-use","high","2025-11-10"
"Persistent crying","IS_ASSOCIATED_WITH","Otitis media (ear infection)","Symptom","Condition","routine","Check for fever or ear discharge; arrange GP review if persistent","Keep baby comfortable, upright during feeds, avoid water in ear","","https://www.nhs.uk/conditions/ear-infections-children/","high","2025-11-10"
"Persistent inconsolable crying with drawing up legs","IS_RED_FLAG_FOR","Intussusception","Symptom","Condition","urgent","Seek emergency assessment immediately; may need ultrasound or reduction","Do not feed until assessed; keep child calm","","https://www.nhs.uk/conditions/intussusception/","high","2025-11-10"
"Fever in infant under 3 months","IS_RED_FLAG_FOR","Serious bacterial infection (sepsis risk)","Symptom","Condition","emergency","Immediate hospital assessment required","Do not delay; keep infant warm and hydrated","","https://www.nhs.uk/conditions/fever-in-children/","high","2025-11-10"
"High fever with widespread rash","IS_ASSOCIATED_WITH","Viral exanthem","Symptom","Condition","routine","Observe and provide fluids; seek GP if persistent or severe","Use paracetamol for fever per guidance; keep child cool","","https://www.nhs.uk/conditions/viral-rash-in-children/","high","2025-11-10"
"Non-blanching rash or petechial rash","IS_RED_FLAG_FOR","Meningococcal sepsis","Symptom","Condition","emergency","Go to emergency department immediately; do not wait","Keep child still; avoid delay in transport","","https://www.nhs.uk/conditions/meningitis/symptoms/","high","2025-11-10"
"Cough with fast breathing or chest indrawing","IS_RED_FLAG_FOR","Pneumonia (severe)","Symptom","Condition","urgent","Seek urgent medical care; likely need assessment and treatment","Sit child upright, keep airway clear, do not give sedating meds","","https://www.who.int/health-topics/childhood-pneumonia","high","2025-11-10"
"Wheeze and increased work of breathing","IS_ASSOCIATED_WITH","Bronchiolitis or asthma exacerbation","Symptom","Condition","urgent","Medical assessment for bronchodilator/nebuliser or oxygen if severe","Keep child calm and use prescribed inhalers if available","","https://www.nhs.uk/conditions/bronchiolitis/","high","2025-11-10"
"Rapid breathing with nasal flaring in infant","IS_RED_FLAG_FOR","Severe respiratory distress","Symptom","Condition","emergency","Call emergency services or attend ED immediately","Do not feed if breathing is very difficult; keep child upright","","https://www.who.int/teams/health-care-readiness/clinical-care/pneumonia","high","2025-11-10"
"Refusal to feed or poor feeding","IS_ASSOCIATED_WITH","Oral thrush / systemic illness","Symptom","Condition","urgent","Arrange GP/pediatric review if persistent or with fever","Offer small frequent feeds; check for mouth thrush","","https://www.nhs.uk/conditions/oral-thrush-babies/","high","2025-11-10"
"No tears when crying or markedly sunken eyes","IS_RED_FLAG_FOR","Severe dehydration","Symptom","Condition","urgent","Seek urgent medical attention; start ORS if advised","Give small frequent sips of ORS; continue breastfeeding if possible","","https://www.who.int/health-topics/diarrhoeal-disease","high","2025-11-10"
"Persistent vomiting with inability to keep fluids down","IS_RED_FLAG_FOR","Severe dehydration","Symptom","Condition","urgent","Contact medical services urgently; attend clinic or ED","Offer ORS in small frequent amounts if tolerated","","https://www.who.int/health-topics/diarrhoeal-disease","high","2025-11-10"
"Persistent vomiting with bilious (green) vomit","IS_RED_FLAG_FOR","Intestinal obstruction","Symptom","Condition","urgent","Immediate hospital evaluation required","Do not give food or fluids until assessed","","https://www.nhs.uk/conditions/intestinal-obstruction/","high","2025-11-10"
"Diarrhoea with blood or mucus in stool","IS_RED_FLAG_FOR","Dysentery/bacterial gastroenteritis","Symptom","Condition","urgent","Seek medical care; antibiotics may be required","Keep hydrated with ORS; avoid sugary drinks for young children","","https://www.who.int/health-topics/diarrhoeal-disease","high","2025-11-10"
"Mild diarrhoea without signs of dehydration","IS_ASSOCIATED_WITH","Viral gastroenteritis","Symptom","Condition","routine","Home care with frequent fluids and continued feeding; seek care if worsens","Continue breastfeeding/feeding and give ORS if advised","","https://www.nhs.uk/conditions/gastroenteritis/","high","2025-11-10"
"Lethargy,floppy or unresponsive child","IS_RED_FLAG_FOR","Severe illness/neonatal emergency","Symptom","Condition","emergency","Call emergency services immediately","Start basic life support if trained; keep airway clear","","https://www.nhs.uk/conditions/baby/health-problems/","high","2025-11-10"
"Seizure lasting longer than 5 minutes","IS_RED_FLAG_FOR","Status epilepticus","Symptom","Condition","emergency","Call emergency services immediately; urgent hospital treatment needed","Protect head, remove hazards, do not put objects in mouth","","https://www.nhs.uk/conditions/epilepsy/treatment/first-aid-for-seizures/","high","2025-11-10"
"Brief febrile seizure (short, generalized)","IS_ASSOCIATED_WITH","Febrile seizure","Symptom","Condition","urgent","Seek medical review after seizure stops; emergency if >5 minutes or repeated","Place child on side, keep airway clear; cool fever if necessary","","https://www.nhs.uk/conditions/febrile-seizure/","high","2025-11-10"
"Bulging fontanelle (infant)","IS_RED_FLAG_FOR","Meningitis or raised intracranial pressure","Symptom","Condition","emergency","Immediate pediatric evaluation required","Keep infant calm and seek urgent transport","","https://www.nhs.uk/conditions/meningitis/","high","2025-11-10"
"Jaundice within first 24 hours of life","IS_RED_FLAG_FOR","Pathological neonatal jaundice (e.g. hemolysis)","Symptom","Condition","emergency","Immediate neonatal assessment and urgent referral,Keep baby warm; feed and seek help promptly","","https://www.nhs.uk/conditions/jaundice-in-babies/","high","2025-11-10"
"Jaundice persisting beyond 2 weeks or with poor feeding","IS_RED_FLAG_FOR","Underlying illness or severe jaundice","Symptom","Condition","urgent","Arrange pediatric review; investigate underlying causes","Continue feeding; record stools and urine colour","","https://www.nhs.uk/conditions/jaundice-in-babies/","high","2025-11-10"
"Red swollen painful limb or refusal to move limb","IS_RED_FLAG_FOR","Septic arthritis/osteomyelitis","Symptom","Condition","urgent","Arrange urgent medical review and imaging","Immobilise limb and avoid weight-bearing until assessed","","https://www.nhs.uk/conditions/osteoarthritis/ (consult orthopaedics guidance)","high","2025-11-10"
"New limp or refusal to weight-bear after minor trauma","IS_RED_FLAG_FOR","Fracture or septic joint","Symptom","Condition","urgent","Seek urgent orthopaedic or ED assessment","Keep limb supported and avoid movement","","https://www.nhs.uk/conditions/broken-bone/","high","2025-11-10"
"Ear discharge with fever","IS_ASSOCIATED_WITH","Acute suppurative otitis media","Symptom","Condition","urgent","See GP for assessment and possible antibiotics","Keep ear dry; do not insert objects","","https://www.nhs.uk/conditions/ear-infections-children/","high","2025-11-10"
"Hoarse voice with high fever and stridor","IS_RED_FLAG_FOR","Croup with airway compromise","Symptom","Condition","urgent","Seek urgent assessment; hospital care if stridor at rest","Keep child calm; sit upright; avoid agitating the child","","https://www.nhs.uk/conditions/croup/","high","2025-11-10"
"Drooling,refusal to swallow or muffled voice","IS_RED_FLAG_FOR","Peritonsillar/retropharyngeal abscess (airway risk)","Symptom","Condition","urgent","Immediate ENT or ED assessment for airway and drainage","Keep child seated and do not force oral intake","","https://www.nhs.uk/conditions/peritonsillar-abscess/","high","2025-11-10"
"Persistent high fever >39°C despite antipyretics","IS_RED_FLAG_FOR","Serious infection","Symptom","Condition","urgent","Seek medical review for further assessment","Maintain fluids and monitor breathing and responsiveness","","https://www.nhs.uk/conditions/fever-in-children/","high","2025-11-10"
"Conjunctivitis with eyelid swelling in neonate","IS_RED_FLAG_FOR","Ophthalmia neonatorum","Symptom","Condition","urgent","Urgent ophthalmic/pediatric review required","Do not delay; avoid home remedies","","https://www.cdc.gov/conjunctivitis/basic_facts.html","high","2025-11-10"
